GENERAL CONCEPT (GOAL),STRATEGIES,ADAPT TYPE,SOUTHEAST COASTAL CLIMATE HAZARDS,SOUTHWEST CLIMATE HAZARDS,CULTURAL RESOURCE IMPACTS FROM CLIMATE HAZARD(S),ENVIRONMENTAL SETTING / CONTEXT (MACRO-SCALE),ARCHEOLOGY SUBTYPES,CULTURAL LANDSCAPES SUBTYPES,MUSEUM COLLECTIONS SUBTYPES,HISTORIC STRUCTURES SUBTYPE,FEASIBILITY ,NOTE(S),LONGEVITY ,NOTE(S),BEST PRACTICE GUIDANCE,HISTORIC RESOURCE CONSIDERATIONS,(if applicable/known)           TRIBAL CONSIDERATIONS             ,CASE STUDY REFERENCE,EFFECTIVENESS ,NOTE(S),CITATION - NAME,CITATION - LINK,PG #
,Trim trees,PROTECT (extrinsic),Intensified Wind,,Destruction,SE - Coastal,,,,"(immediate) site, building",HIGH,,MID,Needs to be retrimmed periodically.,,Does the tree impact viewsheds from the building or is it in some way critical to the cultural value?,,"Charleston, SC",,,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",2024_Resilience-Guidance-For-Charleston,R1.8
Runoff control,Grade site to slow stormwater runoff and promote infiltration,ACCLIMATE (intrinsic),Flooding (precipitation),Landslides,,"SE - Coastal, SW - Mountain",,"ecological and natural systems, Spatial patterns + views",,"larger site, building",MED to HIGH,Standard practice in site design,LONG,Permanent grading interventions,,Must protect adjacent foundations and site features. May affect historic spatial layout or viewsheds.,,,AVE,Depends on soil and landscape conditions,2013 Building Resilience in Boston,,39
Surface protection against water penetration,"Terracotta tiles on rooves and facades, commercial water repellents, sacrificial paint layers",ACCLIMATE (intrinsic),"Higher relative humidity, Flooding (precipitation), Increased Storm Surge frequency & severity",,,,,,,material,,,,,,Water in all forms is the most harmful agent for hisotic materials and structures. ,,,,"Effectiveness of sealants depends on many factors, but mainly depends on natural water repellency of hisotic materials. Especially those covered with crusts or biofilms",,,95
Replacement,Swapping the original with a more resilient replica,DISLOCATE (move),"Increased average temperature, Higher relative humidity, Flooding (precipitation), Intensified Wind, Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion, Increased Wildfire, Biological community changes","Landslides, Increased average temperature, Flash Flooding, Drought, Increased Wildfire, Biological community changes","Submersion, Erosion, Inundation, Saturation, Deterioration, Dissolution, Destruction, Oxidation, Depletion, Conflagration, Dissruption","SE - Coastal, SW - Desert, SW - Mountain",,,,material,,"Can be expensive if applied on a large scale, but will safeguard the original which can be placed into an environment suitable to its long term sustainability",,,,Severely deteriorated objects which will be subjected to increasing climatic effects can be protected by replacing the original with a replica,,,,,2012 Atlas of Climate Change Impact of European Cultural Heritage,,96
Modify environmental management in building,Mechanically increase cooling capacity,PROTECT (extrinsic),,Increased average temperature,Deterioration,"SW - Desert, SW - Mountain",,,"Stored, Exhibited, Records",,LOW,,,,,,,,,,,,
Strengthen building envelope,Install security glazing and/or storm shutters; upgrade roof structure and tie-downs,PROTECT (extrinsic),Intensified Wind,,"Deterioration, Destruction, Dissruption","SE - Coastal, SE - Inland",,,"Stored, Exhibited, Records",,LOW,,,,,,,,,,,,
Reduce surface damage to collections installed outside,construct robust enclosure around collection materials,PROTECT (extrinsic),Intensified Wind,,"Erosion, Deterioration","SE - Coastal, SE - Inland",,,"Exhibited, Oversized",,LOW,,,,,,,,,,,,
Strengthen installation of exterior collections,increase structural robustness of mounts; add stablizing armatures ,PROTECT (extrinsic),Intensified Wind,,"Destruction, Dissruption, Deterioration","SE - Coastal, SE - Inland",,,"Exhibited, Oversized",,MED,,,,,,,,,,,,
Reduce water intrusion,add barriers: sandbags; tighten building envelope,PROTECT (extrinsic),"Flooding (precipitation), Tidal Flooding, Increased Storm Surge frequency & severity, Inundation",Flash Flooding,"Saturation, Submersion, Dissolution, Deterioration, Destruction","SE - Coastal, SW - Desert, SE - Inland",,,"Stored, Exhibited, Records",,MED to HIGH,,,,,,,,,,,,
sandbags or levee plugs as temporary measures,,PROTECT (extrinsic),"Flooding (precipitation), Tidal Flooding, Increased Storm Surge frequency & severity, Inundation",Flash Flooding,,SE - Coastal,,,,"larger site, building",HIGH,Should be feasable as relatively low cost and not requiring professional installation,SHORT to MID,"Document states that it is as a temporary measure. Longevity will depend on site conditions, future weather events",,,,,,,2016 NPS NR Coastal Adaptation Strategies Handbook,,60
,"Apply termite treatment, pest management, and decay-resistant wood at risk points",ACCLIMATE (intrinsic),"Biological community changes, Higher relative humidity, Increased average temperature",,,SE - Coastal,,,,"material, building",HIGH,Standard practice with commercial services,MID,Requires recurring treatment and monitoring,NPS Brief 45,Use non-invasive methods; preserve original fabric,,"Charleston, SC",AVE,Reduces but doesn’t eliminate vulnerability,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",,"R4.2, R4.6"
Hard infrastructure,"Seawalls, dams, rock armour, flood walls, etc",PROTECT (extrinsic),"Flooding (precipitation), Tidal Flooding, Increased Storm Surge frequency & severity, Inundation",,,SE - Coastal,,,,"larger site, building",LOW,,,,"""Hard coastal protection solutions are no longer considered best practice by international heritage bodies such as UNESCO and should only be applied as a last resort as the cost and the carbon footprint of the materials is not considered sustainable. If they are to be used, they should be as biodiversity friendly as possible and should not interfere with important natural processes such as sediment deposition."" Regular monitoring (e.g., condition reports, digital surveys), community engagement, and coordination among caretakers and volunteers are recommended. Prioritize nature-based erosion control (e.g., salt marshes) over hard engineering. Carefully assess impacts of structural defenses on heritage and biodiversity.",,,KCC historic graveyards,,,Climate Change Risk Assessment for Kerry Graveyards,,28
Maintenance,Citizen caretaking - allowing stakeholders to partcipate and learn about preservation practices and take an active role.,TEND / TELL (aphysical),"Increased average temperature, Higher relative humidity, Flooding (precipitation), Intensified Wind, Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion, Increased Wildfire, Biological community changes","Increased average temperature, Landslides, Flash Flooding, Reduced Snowpack, Drought, Increased Wildfire, Biological community changes",,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,"operations + occupancy, (immediate) site, larger site, building, assembly, material",HIGH,,LONG,,,,,KCC historic graveyards,,,Climate Change Risk Assessment for Kerry Graveyards,,27
Protect collections from particulates and gaseous pollutants,upgrade particulate filtration on systems; install portable air filtration equipment,PROTECT (extrinsic),Increased Wildfire,"Drought, Increased Wildfire","Erosion, Deterioration, Oxidation","SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,"Stored, Exhibited",,LOW to MED,,,,,,,,,,,,
Protect collections from particulates and gaseous pollutants,place collections inside of robust fire-resistent buildings with fire detection & suppression systems,PROTECT (extrinsic),Increased Wildfire,Increased Wildfire,"Destruction, Conflagration, Deterioration","SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,"Stored, Exhibited, Records",,LOW,,,,,,,,,,,,
,"thermal blinds, upgrade insulation, fans + dehumidifiers, optimize appliance placement + use",PROTECT (extrinsic),"Increased average temperature, Higher relative humidity",,,SE - Coastal,,,,"operations + occupancy, assembly",,,,,,Use neutral window coverings,,"Charleston, SC",,,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",,R8.7
increase capacity,"Use bioswales and vegetated capture systems to slow, filter, and infiltrate stormwater",,"Flooding (precipitation), Biological community changes",,,SE - Coastal,,vegetation,,"larger site, building",MED,"Simple design with natural materials
",MID,Requires seasonal maintenance,"CA Dept. of Transportation Biofiltration Swale Guidance
",Must align with historic planting schemes if in designed landscapes. Can help return landscape to historic character if native plants are used.,,,,Effective for water quality and infiltration,2013 Building Resilience in Boston,,40
Flood Resistant Materials,"Replace flooring and wall materials with flood resistant alternatives below DFE; install removable baseboards, apply mold-resistant paint",ACCLIMATE (intrinsic),"Tidal Flooding, Flooding (precipitation)",,,SE - Coastal,,,,material,MED,Requires professional input and moderate investment,LONG,Materials are durable and flood rated,FEMA Technical Bulletin 2-08,Use visually compatible and reversible materials where needed,,"Charleston, SC",,,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",,R8.4
Living Breakwaters,"Hybrid gray-green infrastructure, oyster reef habitat, community education",PROTECT (extrinsic),Intensified Wind,,Erosion,SE - Coastal,,,,,MED to HIGH,,LONG,,"Use of computational modeling, stakeholder-informed design, CAC process",Maintains visual and physical access to shoreline,,"Living Breakwaters – Staten Island, NY",,High effectiveness for wave attenuation and shoreline stabilization,Innovations in Coastline Management with Natural and Nature-Based Features (NNBF): Lessons Learned from Three Case Studies,2022_InnovationsinCoastalManagementWithNaturalandNatureBasedFeatures(NNBF),5-6
,"Replace or repair shingles, flashing, or metal roof panels to prevent water intrusion and wind damage",ACCLIMATE (intrinsic),"Intensified Wind, Flooding (precipitation)",,,SE - Coastal,,,,"material, assembly, building",MED,Requires skilled labor or licensed contractor,MID,Repair components have standard lifespans,NPS Brief 4,Match original material; retain historic appearance,,"Charleston, SC",MAX,Significantly improves resistance to storm damage,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",,R3.3
Protect museum collections from fire,install ember resistant roofing and vents to prevent wildfire trom entering collection buildings,PROTECT (extrinsic),"Increased Wildfire, Intensified Wind",Increased Wildfire,"Conflagration, Deterioration, Destruction","SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,"Stored, Exhibited, Records",,LOW to MED,,,,,,,,,,2023_AECOM_CR_CCV A_ &_ Adaptation for GRSA,,
Increasing awareness,signage to communicate risks to site to visitors,TEND / TELL (aphysical),"Increased average temperature, Higher relative humidity, Flooding (precipitation), Intensified Wind, Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion, Increased Wildfire, Biological community changes","Increased average temperature, Landslides, Flash Flooding, Reduced Snowpack, Drought, Increased Wildfire, Biological community changes",,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,"operations + occupancy, larger site, building",HIGH,,LONG,,"""In addition to conveying heritage values such signage should discourage interference with the built heritage structures and communicate messages around climate change.""",,,KCC historic graveyards,,,Climate Change Risk Assessment for Kerry Graveyards,,27
Lower water table,"Drains, drain wells, stone columns. Possibily in combination with a warning system and water pumping in special cases",PROTECT (extrinsic),,Landslides,,SW - Mountain,,,,(immediate) site,HIGH,"Most frequently used means of stabilising slopes. Often less expensive than other methods of stabilisation, and a large volume of ground can frequently be stabilised at a relatively low cost.",,,,,,,,,2012 Atlas of Climate Change Impact of European Cultural Heritage,,94
Modify infrastructure to withstand projected climate pressures,"Re-engineer culverts, headwalls, and bridges to suit projected stream hydrology changes while maintaining character-defining features.",ACCLIMATE (intrinsic),"Flooding (precipitation), Increased Storm Surge frequency & severity",Flash Flooding,,"SE - Coastal, SW - Desert, SW - Mountain, SE - Inland",,"built features, Spatial patterns + views",,,MED,Requires consulting engineers and hydrologists to assess infrastructure and redesign sensitive to cultural and natural resources.,,,,,,,,,,,
Re/afforestation of steep slopes,Reforest or establish a new forest on steep slopes to retain soil and prevent erosion.,ACCLIMATE (intrinsic),"Flooding (precipitation), Increased Storm Surge frequency & severity, Coastal erosion","Landslides, Flash Flooding",,"SE - Coastal, SW - Desert, SW - Mountain, SE - Inland",,ecological and natural systems,,,,"Varies based on site. If site was forested previously, it's likely that trees will establish again. ",,"Depends on maintenance, site conditions, weather events.",,,"""Explore the suitability of tribal lands for reforestation/afforestation to harness the multiple functions of forests, from supporting biodiversity and ecosystem services to carbon sequestration and controlling erosion.""",Quote from Maori Engagement in the Climate Space,,,2023 Climate Positive Design Carbon Drawdown Toolkit; 2024 Maori Engagement in the Climate Space (U.S Climate Heritage Conference),,14; 8
,"Routine maintenance of exterior wood elements (inspection, cleaning, repainting, repair)",ACCLIMATE (intrinsic),"Flooding (precipitation), Increased Storm Surge frequency & severity, Tidal Flooding, Intensified Wind, Increased average temperature, Biological community changes",,,SE - Coastal,,,,material,HIGH,"Uses simple tools, accessible techniques",LONG,Ongoing maintenance preserves material lifespan,"NPS Preservation Briefs 10, 16, 45",Retain original features; replace in-kind if needed,,"Charleston, SC",MAX,Prevents degradation and enhances durability,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",,R4.1-R4.2
Natural Inland Wetlands - NNBS,"Protect and preserve existing natural inland wetlands and their hydrological processes, rehabilitate existing wetlands and restore or enhance their natural functions so they can deliver ecosystem services.",PROTECT (extrinsic),"flooding (precipitation), Biological community changes, inundation, Increased wildfire impacts",, ,SE - Inland,,,, , ,,, , ,, , ,, ,A Catalogue of Nature-Based Solutions for Urban Resilience,https://openknowledge.worldbank.org/entities/publication/c33e226c-2fbb-5e11-8c21-7b711ecbc725,155-167
Elevate,Move major appliances and power equipment to raised platforms or upper floors,DISLOCATE (move),"Flooding (precipitation), Tidal Flooding, Increased Storm Surge frequency & severity, Inundation",,,SE - Coastal,,,,"operations + occupancy, assembly",MED,Depends on the amount of utility rework required to achieve goals,MID to LONG,,Building Construction in Flood Zones,Limit impact on historic views with exterior modifications or impact to interior character-defining features.,,"Charleston, SC",MAX,,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",,R8.2
Adapt coastal vegetation communities to rising sea levels,Assisted marsh migration through enhancing upland topography and hydrology and facilitating the movement of marsh plants,ACCLIMATE (intrinsic),"Tidal Flooding, Increased Storm Surge frequency & severity, Coastal erosion",,,SE - Coastal,,ecological and natural systems,,,MED,"Depending on the land use around the coastal area, this strategy could be an alternative to hard infrastructure in coastal areas.",MID to LONG,Depends on severity of storm conditions and specific site features,"Review tactics outlined in document to determine best course of action for site. These include: digging runnels, dike removal, microtopographic alterations, grass bundle staking, filling ditches with dredged material, cutting marsh grass, transplanting endangered species, and seeding. ","Consider historic views, spatial patterns, and land use when determining course of action.",Consult with THPO and associated tribes to ensure traditional use of salt marsh areas can continue or resume as appropriate. ,"Kirwan, et al. 2016",MAX,"""Marshes that moved upland still provided the same protection against high wave energy and storm surges. This protects properties behind the marsh from the impacts of severe storms."" ",2023_Department of the Interior: Nature-Based Solutions Roadmap,,46-53
Manipulate sediment to restore barrier islands,Add sediment (direct renourishing) and restore natural regional sediment transport processes to protect cultural resources on barrier islands.,PROTECT (extrinsic),"Tidal Flooding, Increased Storm Surge frequency & severity, Coastal erosion",,,SE - Coastal,,ecological and natural systems,,,LOW to MED,"This type of work requires permitting and coordination with USACE and has significant potential impacts to local economies and ecologies. A lot of study, collaboration, and funding would be required.",MID to LONG,"If successful, natural sedimentation patterns could protect the barrier islands and associated resources for a long time.","This strategy requires extensive data regarding the nearshore habitats and resources. Work with USGS or equivalent to understand bathymetry, substrate, and underlying stratigraphy within the limits of work.",Included monitoring by cultural resource specialists to ensure resources are protected from deposits and construction efforts.,Work with THPO and tribal representatives if associated with the lands or waterways being manipulated.,"Large-Scale Restoration of Barrier Island Systems and Cultural Resource Protection through Sediment Placement, Gulf Islands National Seashore, Mississippi",,"in progress, involves extensive ongoing monitoring",2015 Coastal Adaptation Strategies: Case Studies,,35
Living breakwaters,"Design and construct near-shore structures that will break waves, reduce beach erosion, and provide habitat. ",PROTECT (extrinsic),"Tidal Flooding, Increased Storm Surge frequency & severity, Coastal erosion",,,SE - Coastal,,"ecological and natural systems, built features",,,LOW,Tempted to say low with the cost and scope of this style of intervention,MID to LONG,"This hasn't been tested over a long period of time yet, so hard to say. ","Requires a large, interdisciplinary team. ",Utilize modeling to determine any effects to cultural resources.,"If the coastline in this area has significance to associated tribes, ensure they are involved with the project from the outset. ",NYC,,,2024 WORKS with Nature: Low Carbon Adaptation Techniques for a Changing World,,56
Elevate Interior Structure,Install a new raised floor within the building above flood levels while leaving the exterior intact,ACCLIMATE (intrinsic),"Flooding (precipitation), Tidal Flooding, Inundation",,,"SE - Coastal, SE - Inland",,,,"operations + occupancy, building, material",LOW to MED,,LONG,,"Maintain original access, fenestration, and character. Install new interior floor below window sills; maintain historic materials; use internal ramps/stairs; floodproof non-elevated access areas.","Preserve storefronts, original finishes, and character-defining features; ensure compatibility of new access solutions.",,"Norfolk, VA; Galbeston, TX; Cedar Rapids, IA",AVE,,2021 Guidelines on Flood Adaptation for Rehabilitating Historic Buildings,2021 Guidelines on Flood Adaptation for Rehbilitating Historic Buildings,100–106
Provide improved environmental conditions for most vulnerable collections,place vulnerable objects in display cases with microclimates (either active or passive),DISLOCATE (move),"Increased average temperature, Higher relative humidity",,Deterioration,"SE - Coastal, SE - Inland",,,Exhibited,,LOW to MED,,,,,,,,,,,,
Provide improved environmental conditions for most vulnerable collections,place vulnerable objects in display cases with microclimates (either active or passive),PROTECT (extrinsic),"Increased average temperature, Higher relative humidity",,Deterioration,"SE - Coastal, SE - Inland",,,Exhibited,,LOW to MED,,,,,,,,,,,,
Establish operational protocols to take advantage of diurnal changes to interrupt mold germination,Open windows and doors during periods of lower exterior dewpoints. Ensure that windows and doors are closed during precipitation events,TEND / TELL (aphysical),"Higher relative humidity, Increased average temperature",,Deterioration,SE - Coastal,,,Exhibited,,MED to HIGH,assumes site has monitoring program to determine conditions and staff trained and authorized to make adjustments,,"protocols were established at Finca Vigia, Hemingway's home in Cuba due to lack of infrastructure; requires knowledgeable personnel to respond.  May be a security issue.  Also requires environmental monitoring equipment to measure conditions",,,,,,,,,
,"Weather sealing for water and air exclusion (caulking, weather stripping)",PROTECT (extrinsic),"Flooding (precipitation), Higher relative humidity, Intensified Wind",Drought,,"SE - Coastal, SW - Desert",,,,assembly,HIGH,"DIY friendly, inexpensive",MID,Requires periodic maintenance,"NPS Preservation Briefs 3, 9. Illustrated Guidelines on Sustainability by NPS.",Use historically compatible materials; maintain reversibility,,"Charleston, SC",AVE,Reduces infiltration but does not provide structural protection,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",,R6.8
Marsh migration/ Living dike,"Construct a living dike on the coastal side of an existing dike to trap sediment, reduce flooding, provide habitat, and encourage natural elevation gain in salt marshes to adapt to sea level rise.",PROTECT (extrinsic),"Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion",,,SE - Coastal,,"ecological and natural systems, built features",,,,"If dike construction is already being considered, a 'living dike' might be a relatively low cost addition to the design.",,This project is ongoing so no data yet.,Work with coastal engineers and ecologists to establish the salt marsh community.,Utilize modeling to determine any effects to cultural resources.,"If the coastline in this area has significance to associated tribes, ensure they are involved with the project from the outset. ","Surry, British Columbia",,In progress,2024 WORKS with Nature: Low Carbon Adaptation Techniques for a Changing World,,82
Interrupt mold germination cycle,Install smart ventilation and/or use building elements (stack effect) in buildings to keep air moving,PROTECT (extrinsic),"Higher relative humidity, Increased average temperature",,Deterioration,"SE - Coastal, SE - Inland",,,"Exhibited, Stored, Records",,LOW,requires study to understand building comportment ,,,,,,,,,,,
Reduce solar heat gain through  building envelope,"Install window shading, films, awnings, or other coverings to shade windows; install heat-reflecting membranes or coatings on roofs and walls",PROTECT (extrinsic),"Increased average temperature, Higher relative humidity",Increased average temperature,"Deterioration, Dessication","SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,"Exhibited, Stored, Records",,LOW to MED,"will require determination of appropriateness with respect to historic sites, house museums,",,,,,,,,,2023_AECOM_CR_CCV A_ &_ Adaptation for GRSA,,
Modify environmental management in building,adjust operational setpoints on systems,ACCLIMATE (intrinsic),"Increased average temperature, Higher relative humidity",,"Deterioration, Oxidation","SE - Coastal, SE - Inland",,,"Stored, Exhibited, Records",,,assumes site has systems with controls that can be reset,,,,,,,,,,,
Provide improved environmental conditions for most vulnerable collections,Identify and segregate vulnerable collections materials and increase cooling capacity and/or add supplemental dehumidification for the location,DISLOCATE (move),"Increased average temperature, Higher relative humidity",,Deterioration,"SE - Coastal, SE - Inland",,,"Stored, Exhibited, Records",,MED,,,,,,,,,,,,
Tree planting and maintenance,Plant wind-resistant shade trees and maintain existing trees to reduce heat and increase water absorption,PROTECT (extrinsic),"Flooding (precipitation), High Wind Damage, Coastal erosion, Biological community changes, Increased average temperature",,,SE - Coastal,,vegetation,,operations + occupancy,HIGH,,LONG,,"EPA, Clemson Extension Tree Guidelines",Avoid compromising historic views or structures; use native species where possible,,"Charleston, SC",MAX,,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",2024_Resilience-Guidance-For-Charleston,R2.9
Plant coastal plant communities to slow erosion of vulnerable areas,Establish mangrove plantations to dissipate wave action and encourage sedimentation,ACCLIMATE (intrinsic),"Tidal Flooding, Increased Storm Surge frequency & severity, Coastal erosion",,,SE - Coastal,,"Spatial patterns + views, ecological and natural systems",,,MED,Depends on location and if mangroves or similar community is a good ecological fit. ,MID to LONG,"Once established, the mangrove community could survive and protect the resources for a long time.","Work with coastal ecology specialists to determine planting plan, plant sourcing, installation, and maintenance plan.",Consider spatial patterns and views that might be altered by the mangrove forest as it grows. Also consider if any resources may be impacted by growing tree roots and weigh if the protection offered is greater than potential damage from vegetative growth.,Consult with asociated tribes and THPOs regarding impacts to significant sites and/or inclusion of significant species.,Ruins of Kilwa Kisiwani and Songo Mnara Tanzania; Seychelles,,study underway,Climate Action Working Group - Climate Change Adaptation; 2024 WORKS with Nature: Low Carbon Adaptation Techniques for a Changing World,,"4, 60"
Protect collections from fire damage/loss,place collections inside of robust fire-resistent buildings with fire detection & suppression systems; reduce combustible materials around building,PROTECT (extrinsic),"Increased Wildfire, Increased average temperature",,"Destruction, Conflagration, Deterioration","SE - Coastal, SE - Inland",,,"Stored, Exhibited, Records",,LOW,,,,,,,,,,,,
modify environmental management in building,add supplemental dehumidification decoupled from cooling system,PROTECT (extrinsic),Higher relative humidity,,Deterioration,"SE - Coastal, SE - Inland",,,"Stored, Exhibited, Records",,LOW,,,,,,,,,,,,
Modify environmental management in building,Increase cooling and dehumidification capacity through systems improvements; ,PROTECT (extrinsic),"Increased average temperature, Higher relative humidity",,"Deterioration, Oxidation","SE - Coastal, SE - Inland",,,"Stored, Exhibited, Records",,LOW,,,,,,,,,,,,
Rehabilitate historic water storage infrastructure,"Where feasible, rehabilitate and reuse historic infrastructure to capture and store rainwater for non-potable use.",ACCLIMATE (intrinsic),"Increased average temperature, Increased Storm Surge frequency & severity, Flooding (precipitation)","Drought, Flash Flooding",,"SE - Coastal, SW - Desert, SW - Mountain",,"built features, ecological and natural systems",,,LOW to MED,This is based on the existence of historic water storage infrastructure that can be rehabilitated,LONG,This case study shows decreased reliance on external water sources and the power to access them. Could also be used to reduce surge to other stormwater systems (including natural hydrological systems).,Combine historic infrastructure with modern engineering and technology for functional restoration.,"Ensure no loss of integrity to historic structure interpretation through effort, or, confirm pros outweigh cons.",Consult with THPO and associated communities if historic infrastructure is related to tribal history and culture.,San Juan National Historic Site Water Capture,MAX,,2016 Cultural Resources Climate Change Strategy,,28
Maintain stormwater control system elements,"Keep debris clear from drain grilles, culvert mouths, drainage channels, etc. Ensure they are connected to the broader stormwater control system.",PROTECT (extrinsic),"Flooding (precipitation), Increased Storm Surge frequency & severity",Flash Flooding,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,"built features, land use",,,HIGH,"High feasibility as a part of routine maintenance, especially preceeding storm events.",SHORT,,,Note if stormwater infrastructure is historic or part of a historic landscape. This may impact maintenance regimes. ,,,,,2023: Resilience Roadmap: Building a Sacred Places Heritage Network for Disaster Resilience,,31
Maintain consistency of equipment operations,Install or increase capacity of emergency power (generators),PROTECT (extrinsic),"Increased average temperature, Higher relative humidity",,Deterioration,"SE - Coastal, SE - Inland",,,"Stored, Exhibited, Records",,MED to HIGH,,,,,,,,,,,,
Surface protection,"Surface shelters, surface covers",PROTECT (extrinsic),"Increased average temperature, Higher relative humidity","Drought, Landslides",,"SW - Desert, SW - Mountain, SE - Coastal","Surface, Subsurface",,,"building, (immediate) site",,,,,Prevents evaporation and thus subsidence,"Shelters can provide an architecturally acceptable protective measure in several other situationsm namely to safeguard excavated objects, especially in situ mosaics and adobe and clay mortar masonry walls, frescoes, and ruins. Structures constructed over monuments could accomodate interpretation facilities and enhance the presentation of cultural heritage. On the other hand, construction of new shelters create new indoor environments and must be designed to avoid damaging the in situ artifacts.",,,,,2012 Atlas of Climate Change Impact of European Cultural Heritage,,96
Direct sunlight prevention,Shading devices,PROTECT (extrinsic),Increased average temperature,Increased average temperature,"Deterioration, Dessication","SW - Desert, SE - Coastal",,,,assembly,,,,,,,,,,,2012 Atlas of Climate Change Impact of European Cultural Heritage,,96
Construct a pervious wall structure to prevent erosion,Construct gabion walls to prevent erosion of land containing cultural resources. ,PROTECT (extrinsic),"Coastal erosion, Flooding (precipitation)",,,SE - Coastal,,"built features, Spatial patterns + views",,,MED to HIGH,Gabion walls are relatively cheap to construct,MID,Depends on installation and scale of wall in relation to scale of pressures,Work with structural engineers to determine appropriate sizing and detailing for the site.,"If gabion walling is not consistent with other site features, use only in areas that aren't visible from main visitor routes/areas.",,Ruins of Kilwa Kisiwani and Songo Mnara Tanzania,,study underway,Climate Action Working Group - Climate Change Adaptation,,4
Add or restore riparian buffers,Add or restore natural and planted areas adjacent to water bodies to enhance rivers and protect nearby communities/resources.,PROTECT (extrinsic),"Flooding (precipitation), Coastal erosion, Increased Storm Surge frequency & severity",Flash Flooding,,,,ecological and natural systems,,,,Assumes ownership or management of riparian area adjacent to site.,,depends on maintenance abilities and the scale of storm events that can be planned for.,"Follow BMPs from national, regional, and local organization dedicated to water quality and habitat restoration.","Identify if cultural resources are present in the riparian area and if so, how to minimize impacts to the resources while restoration is underway",Consult with THPO if any cultural resources related to tribal history/culture.,,,,2023 Climate Positive Design Carbon Drawdown Toolkit,,14
Provide improved environmental conditions for most vulnerable collections,Identify and segregate vulnerable collections materials and increase cooling capacity and/or add supplemental dehumidification for the location housing these materials,PROTECT (extrinsic),"Increased average temperature, Higher relative humidity",,Deterioration,"SE - Coastal, SE - Inland",,,"Stored, Exhibited, Records",,MED,,,,,,,,,,,,
Manage stormwater,"Capture stormwater in bioswales, green streets and green infrastructure",PROTECT (extrinsic),"Increased Storm Surge frequency & severity, Flooding (precipitation)",Flash Flooding,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,"ecological and natural systems, built features, land use",,,MED to HIGH,Depends on location and context of site,MID to LONG,Depends on what level of storm event the feature is designed for,"Follow regional industry standards and BMPs for design and construction of bioswales, green streets, green infrastructure.",Ensure construction of bioswales will not negatively impact interpretation of historic resources,Consult with THPO and affiliated tribes about species to include. ,"""Swale on Yale"" Seattle WA",,,2017 Implementation of Climate Change Adaptation Solutions in US Cities,doimspp.sharepoint.com/sites/nps-waso-cr-vulnerability-adaptation/Shared Documents/Forms/AllItems.aspx?id=%2Fsites%2Fnps-waso-cr-vulnerability-adaptation%2FShared Documents%2F2_Research%2F03_Outside Agency Documents%2FVulnerability_and_Adaptation%2F2017_Leonardsen_ImplementationOfClimateChangeAdaptationSolutionsInUSCities%2Epdf&parent=%2Fsites%2Fnps-waso-cr-vulnerability-adaptation%2FShared Documents%2F2_Research%2F03_Outside Agency Documents%2FVulnerability_and_Adaptation,9-12
Install barrier fencing and bio-engineered revetments to protect sensitive dune areas,Reventment installed above the high water mark to protect and stabilize shoreline and cultural (tribal) site,PROTECT (extrinsic),"Coastal erosion, Increased Storm Surge frequency & severity",,,,,"Spatial patterns + views, ecological and natural systems, built features, land use",,,MED to HIGH,"Unsure of the appearance of this strategy, could negatively impact interpretation.",MID to LONG,Unclear if and how the DoD worked with local Indigenous reps to do this project. ,Work with THPO and local tribal representatives from outset when doing work that involves burial sites. ,"Consider if fencing and revetments impact interpretation of cultural landscape and resources. Or, consider if concealing the presence of resources (such as burials) is desired. Again, work with tribes.","Since this project invovles the Mokapu Burial Area, local representatives for associated tribes should be consulted at all points in the plannign and construction process. ",Marine Corps Base Hawaii Kaneohe Bay (including Mokapu Burial Area),,this was in process in 2023- can we get updated info?,"2023_Climate Adaptation Guide 
for Cultural Resources",,58
